#datatype measurement,dateTime,long,tag
record,time,val,hostNode
es-index_indices_index_refresh_time,1719337613000000000,4376,es-data-paid1-es7-29-1b
es-index_indices_index_refresh_time,1719337673000000000,6481,es-data-paid1-es7-29-1b
es-index_indices_index_refresh_time,1719337733000000000,4742,es-data-paid1-es7-29-1b
es-index_indices_index_refresh_time,1719337793000000000,5901,es-data-paid1-es7-29-1b
es-index_indices_index_refresh_time,1719337853000000000,5598,es-data-paid1-es7-29-1b
es-index_indices_index_refresh_time,1719337913000000000,6042,es-data-paid1-es7-29-1b
es-index_indices_index_refresh_time,1719337973000000000,6993,es-data-paid1-es7-29-1b
es-index_indices_index_refresh_time,1719338033000000000,5454,es-data-paid1-es7-29-1b
es-index_indices_index_refresh_time,1719338093000000000,5924,es-data-paid1-es7-29-1b
es-index_indices_index_refresh_time,1719338153000000000,4625,es-data-paid1-es7-29-1b
es-index_indices_index_refresh_time,1719338213000000000,7143,es-data-paid1-es7-29-1b
es-index_indices_index_refresh_time,1719338273000000000,4220,es-data-paid1-es7-29-1b
es-index_indices_index_refresh_time,1719338333000000000,5566,es-data-paid1-es7-29-1b
es-index_indices_index_refresh_time,1719338393000000000,6849,es-data-paid1-es7-29-1b
es-index_indices_index_refresh_time,1719338453000000000,5719,es-data-paid1-es7-29-1b
es-index_indices_index_refresh_time,1719338513000000000,5183,es-data-paid1-es7-29-1b
es-index_indices_index_refresh_time,1719338573000000000,4383,es-data-paid1-es7-29-1b
es-index_indices_index_refresh_time,1719338633000000000,5698,es-data-paid1-es7-29-1b
es-index_indices_index_refresh_time,1719338693000000000,8937,es-data-paid1-es7-29-1b
es-index_indices_index_refresh_time,1719338753000000000,25970,es-data-paid1-es7-29-1b
es-index_indices_index_refresh_time,1719338813000000000,4304,es-data-paid1-es7-29-1b
es-index_indices_index_refresh_time,1719338873000000000,5980,es-data-paid1-es7-29-1b
es-index_indices_index_refresh_time,1719338933000000000,5708,es-data-paid1-es7-29-1b
es-index_indices_index_refresh_time,1719338993000000000,7920,es-data-paid1-es7-29-1b
es-index_indices_index_refresh_time,1719339053000000000,3718,es-data-paid1-es7-29-1b
es-index_indices_index_refresh_time,1719339113000000000,4659,es-data-paid1-es7-29-1b
es-index_indices_index_refresh_time,1719339173000000000,4365,es-data-paid1-es7-29-1b
es-index_indices_index_refresh_time,1719339233000000000,4978,es-data-paid1-es7-29-1b
es-index_indices_index_refresh_time,1719339293000000000,4572,es-data-paid1-es7-29-1b
es-index_indices_index_refresh_time,1719339353000000000,4929,es-data-paid1-es7-29-1b
es-index_indices_index_refresh_time,1719339413000000000,4772,es-data-paid1-es7-29-1b
es-index_indices_index_refresh_time,1719339473000000000,5638,es-data-paid1-es7-29-1b
es-index_indices_index_refresh_time,1719339533000000000,4940,es-data-paid1-es7-29-1b
es-index_indices_index_refresh_time,1719339593000000000,7874,es-data-paid1-es7-29-1b
es-index_indices_index_refresh_time,1719339653000000000,7889,es-data-paid1-es7-29-1b
es-index_indices_index_refresh_time,1719339713000000000,6217,es-data-paid1-es7-29-1b
