#datatype measurement,dateTime,long,tag
record,time,val,hostNode
es-index_indices_index_refresh_time,1719337613000000000,60414,es-data-paid1-es7-27-1b
es-index_indices_index_refresh_time,1719337673000000000,66718,es-data-paid1-es7-27-1b
es-index_indices_index_refresh_time,1719337733000000000,63797,es-data-paid1-es7-27-1b
es-index_indices_index_refresh_time,1719337793000000000,67420,es-data-paid1-es7-27-1b
es-index_indices_index_refresh_time,1719337853000000000,59167,es-data-paid1-es7-27-1b
es-index_indices_index_refresh_time,1719337913000000000,62662,es-data-paid1-es7-27-1b
es-index_indices_index_refresh_time,1719337973000000000,65599,es-data-paid1-es7-27-1b
es-index_indices_index_refresh_time,1719338033000000000,65302,es-data-paid1-es7-27-1b
es-index_indices_index_refresh_time,1719338093000000000,63633,es-data-paid1-es7-27-1b
es-index_indices_index_refresh_time,1719338153000000000,66494,es-data-paid1-es7-27-1b
es-index_indices_index_refresh_time,1719338213000000000,62746,es-data-paid1-es7-27-1b
es-index_indices_index_refresh_time,1719338273000000000,56874,es-data-paid1-es7-27-1b
es-index_indices_index_refresh_time,1719338333000000000,49427,es-data-paid1-es7-27-1b
es-index_indices_index_refresh_time,1719338393000000000,45322,es-data-paid1-es7-27-1b
es-index_indices_index_refresh_time,1719338453000000000,61503,es-data-paid1-es7-27-1b
es-index_indices_index_refresh_time,1719338513000000000,65520,es-data-paid1-es7-27-1b
es-index_indices_index_refresh_time,1719338573000000000,65965,es-data-paid1-es7-27-1b
es-index_indices_index_refresh_time,1719338633000000000,68461,es-data-paid1-es7-27-1b
es-index_indices_index_refresh_time,1719338693000000000,62012,es-data-paid1-es7-27-1b
es-index_indices_index_refresh_time,1719338753000000000,66432,es-data-paid1-es7-27-1b
es-index_indices_index_refresh_time,1719338813000000000,60657,es-data-paid1-es7-27-1b
es-index_indices_index_refresh_time,1719338873000000000,63495,es-data-paid1-es7-27-1b
es-index_indices_index_refresh_time,1719338933000000000,61319,es-data-paid1-es7-27-1b
es-index_indices_index_refresh_time,1719338993000000000,64427,es-data-paid1-es7-27-1b
es-index_indices_index_refresh_time,1719339053000000000,64658,es-data-paid1-es7-27-1b
es-index_indices_index_refresh_time,1719339113000000000,63251,es-data-paid1-es7-27-1b
es-index_indices_index_refresh_time,1719339173000000000,65496,es-data-paid1-es7-27-1b
es-index_indices_index_refresh_time,1719339233000000000,64518,es-data-paid1-es7-27-1b
es-index_indices_index_refresh_time,1719339293000000000,68645,es-data-paid1-es7-27-1b
es-index_indices_index_refresh_time,1719339353000000000,69506,es-data-paid1-es7-27-1b
es-index_indices_index_refresh_time,1719339413000000000,61972,es-data-paid1-es7-27-1b
es-index_indices_index_refresh_time,1719339473000000000,63880,es-data-paid1-es7-27-1b
es-index_indices_index_refresh_time,1719339533000000000,60735,es-data-paid1-es7-27-1b
es-index_indices_index_refresh_time,1719339593000000000,56846,es-data-paid1-es7-27-1b
es-index_indices_index_refresh_time,1719339653000000000,61944,es-data-paid1-es7-27-1b
es-index_indices_index_refresh_time,1719339713000000000,64386,es-data-paid1-es7-27-1b
