#datatype measurement,dateTime,long,tag
record,time,val,hostNode
es-index_indices_index_refresh_time,1719337613000000000,63779,es-data-paid1-es7-23-1b
es-index_indices_index_refresh_time,1719337673000000000,65552,es-data-paid1-es7-23-1b
es-index_indices_index_refresh_time,1719337733000000000,64519,es-data-paid1-es7-23-1b
es-index_indices_index_refresh_time,1719337793000000000,65495,es-data-paid1-es7-23-1b
es-index_indices_index_refresh_time,1719337853000000000,67568,es-data-paid1-es7-23-1b
es-index_indices_index_refresh_time,1719337913000000000,65091,es-data-paid1-es7-23-1b
es-index_indices_index_refresh_time,1719337973000000000,64690,es-data-paid1-es7-23-1b
es-index_indices_index_refresh_time,1719338033000000000,64805,es-data-paid1-es7-23-1b
es-index_indices_index_refresh_time,1719338093000000000,65063,es-data-paid1-es7-23-1b
es-index_indices_index_refresh_time,1719338153000000000,68401,es-data-paid1-es7-23-1b
es-index_indices_index_refresh_time,1719338213000000000,68661,es-data-paid1-es7-23-1b
es-index_indices_index_refresh_time,1719338273000000000,64530,es-data-paid1-es7-23-1b
es-index_indices_index_refresh_time,1719338333000000000,64195,es-data-paid1-es7-23-1b
es-index_indices_index_refresh_time,1719338393000000000,67440,es-data-paid1-es7-23-1b
es-index_indices_index_refresh_time,1719338453000000000,64414,es-data-paid1-es7-23-1b
es-index_indices_index_refresh_time,1719338513000000000,63684,es-data-paid1-es7-23-1b
es-index_indices_index_refresh_time,1719338573000000000,68272,es-data-paid1-es7-23-1b
es-index_indices_index_refresh_time,1719338633000000000,66365,es-data-paid1-es7-23-1b
es-index_indices_index_refresh_time,1719338693000000000,64404,es-data-paid1-es7-23-1b
es-index_indices_index_refresh_time,1719338753000000000,70590,es-data-paid1-es7-23-1b
es-index_indices_index_refresh_time,1719338813000000000,57462,es-data-paid1-es7-23-1b
es-index_indices_index_refresh_time,1719338873000000000,102293,es-data-paid1-es7-23-1b
