#datatype measurement,dateTime,long,tag
record,time,val,hostNode
es-index_indices_index_refresh_time,1719337613000000000,67027,es-data-paid1-es7-30-1e
es-index_indices_index_refresh_time,1719337673000000000,65522,es-data-paid1-es7-30-1e
es-index_indices_index_refresh_time,1719337733000000000,69410,es-data-paid1-es7-30-1e
es-index_indices_index_refresh_time,1719337793000000000,64394,es-data-paid1-es7-30-1e
es-index_indices_index_refresh_time,1719337853000000000,67669,es-data-paid1-es7-30-1e
es-index_indices_index_refresh_time,1719337913000000000,66613,es-data-paid1-es7-30-1e
es-index_indices_index_refresh_time,1719337973000000000,68081,es-data-paid1-es7-30-1e
es-index_indices_index_refresh_time,1719338033000000000,66829,es-data-paid1-es7-30-1e
es-index_indices_index_refresh_time,1719338093000000000,68888,es-data-paid1-es7-30-1e
es-index_indices_index_refresh_time,1719338153000000000,68244,es-data-paid1-es7-30-1e
es-index_indices_index_refresh_time,1719338213000000000,66967,es-data-paid1-es7-30-1e
es-index_indices_index_refresh_time,1719338273000000000,68519,es-data-paid1-es7-30-1e
es-index_indices_index_refresh_time,1719338333000000000,66877,es-data-paid1-es7-30-1e
es-index_indices_index_refresh_time,1719338393000000000,67052,es-data-paid1-es7-30-1e
es-index_indices_index_refresh_time,1719338453000000000,69256,es-data-paid1-es7-30-1e
es-index_indices_index_refresh_time,1719338513000000000,70265,es-data-paid1-es7-30-1e
es-index_indices_index_refresh_time,1719338573000000000,73083,es-data-paid1-es7-30-1e
es-index_indices_index_refresh_time,1719338633000000000,79834,es-data-paid1-es7-30-1e
es-index_indices_index_refresh_time,1719338693000000000,47613,es-data-paid1-es7-30-1e
es-index_indices_index_refresh_time,1719338753000000000,41923,es-data-paid1-es7-30-1e
es-index_indices_index_refresh_time,1719338813000000000,12056,es-data-paid1-es7-30-1e
es-index_indices_index_refresh_time,1719338873000000000,7116,es-data-paid1-es7-30-1e
es-index_indices_index_refresh_time,1719338933000000000,7944,es-data-paid1-es7-30-1e
es-index_indices_index_refresh_time,1719338993000000000,12328,es-data-paid1-es7-30-1e
es-index_indices_index_refresh_time,1719339053000000000,9123,es-data-paid1-es7-30-1e
es-index_indices_index_refresh_time,1719339113000000000,8454,es-data-paid1-es7-30-1e
es-index_indices_index_refresh_time,1719339173000000000,62887,es-data-paid1-es7-30-1e
es-index_indices_index_refresh_time,1719339233000000000,62542,es-data-paid1-es7-30-1e
es-index_indices_index_refresh_time,1719339293000000000,63271,es-data-paid1-es7-30-1e
es-index_indices_index_refresh_time,1719339353000000000,62226,es-data-paid1-es7-30-1e
es-index_indices_index_refresh_time,1719339413000000000,66462,es-data-paid1-es7-30-1e
es-index_indices_index_refresh_time,1719339473000000000,65620,es-data-paid1-es7-30-1e
es-index_indices_index_refresh_time,1719339533000000000,68101,es-data-paid1-es7-30-1e
es-index_indices_index_refresh_time,1719339593000000000,66621,es-data-paid1-es7-30-1e
es-index_indices_index_refresh_time,1719339653000000000,69949,es-data-paid1-es7-30-1e
es-index_indices_index_refresh_time,1719339713000000000,67270,es-data-paid1-es7-30-1e
