#datatype measurement,dateTime,long,tag
record,time,val,hostNode
es-index_indices_index_refresh_time,1719337613000000000,4738,es-data-paid1-es7-22-1e
es-index_indices_index_refresh_time,1719337673000000000,7322,es-data-paid1-es7-22-1e
es-index_indices_index_refresh_time,1719337733000000000,5523,es-data-paid1-es7-22-1e
es-index_indices_index_refresh_time,1719337793000000000,6033,es-data-paid1-es7-22-1e
es-index_indices_index_refresh_time,1719337853000000000,6061,es-data-paid1-es7-22-1e
es-index_indices_index_refresh_time,1719337913000000000,7591,es-data-paid1-es7-22-1e
es-index_indices_index_refresh_time,1719337973000000000,7216,es-data-paid1-es7-22-1e
es-index_indices_index_refresh_time,1719338033000000000,5781,es-data-paid1-es7-22-1e
es-index_indices_index_refresh_time,1719338093000000000,8957,es-data-paid1-es7-22-1e
es-index_indices_index_refresh_time,1719338153000000000,5536,es-data-paid1-es7-22-1e
es-index_indices_index_refresh_time,1719338213000000000,9185,es-data-paid1-es7-22-1e
es-index_indices_index_refresh_time,1719338273000000000,5024,es-data-paid1-es7-22-1e
es-index_indices_index_refresh_time,1719338333000000000,10094,es-data-paid1-es7-22-1e
es-index_indices_index_refresh_time,1719338393000000000,6826,es-data-paid1-es7-22-1e
es-index_indices_index_refresh_time,1719338453000000000,8832,es-data-paid1-es7-22-1e
es-index_indices_index_refresh_time,1719338513000000000,4904,es-data-paid1-es7-22-1e
es-index_indices_index_refresh_time,1719338573000000000,5529,es-data-paid1-es7-22-1e
es-index_indices_index_refresh_time,1719338633000000000,10394,es-data-paid1-es7-22-1e
es-index_indices_index_refresh_time,1719338693000000000,6837,es-data-paid1-es7-22-1e
es-index_indices_index_refresh_time,1719338753000000000,5484,es-data-paid1-es7-22-1e
es-index_indices_index_refresh_time,1719338813000000000,5810,es-data-paid1-es7-22-1e
es-index_indices_index_refresh_time,1719338873000000000,5038,es-data-paid1-es7-22-1e
es-index_indices_index_refresh_time,1719338933000000000,4157,es-data-paid1-es7-22-1e
es-index_indices_index_refresh_time,1719338993000000000,6947,es-data-paid1-es7-22-1e
es-index_indices_index_refresh_time,1719339053000000000,4358,es-data-paid1-es7-22-1e
es-index_indices_index_refresh_time,1719339113000000000,7106,es-data-paid1-es7-22-1e
es-index_indices_index_refresh_time,1719339173000000000,6760,es-data-paid1-es7-22-1e
es-index_indices_index_refresh_time,1719339233000000000,7833,es-data-paid1-es7-22-1e
es-index_indices_index_refresh_time,1719339293000000000,5641,es-data-paid1-es7-22-1e
es-index_indices_index_refresh_time,1719339353000000000,6969,es-data-paid1-es7-22-1e
es-index_indices_index_refresh_time,1719339413000000000,4852,es-data-paid1-es7-22-1e
es-index_indices_index_refresh_time,1719339473000000000,5132,es-data-paid1-es7-22-1e
es-index_indices_index_refresh_time,1719339533000000000,7426,es-data-paid1-es7-22-1e
es-index_indices_index_refresh_time,1719339593000000000,5393,es-data-paid1-es7-22-1e
es-index_indices_index_refresh_time,1719339653000000000,6125,es-data-paid1-es7-22-1e
es-index_indices_index_refresh_time,1719339713000000000,5912,es-data-paid1-es7-22-1e
