#datatype measurement,dateTime,long,tag
record,time,val,hostNode
es-index_indices_index_refresh_time,1719337613000000000,66103,es-data-paid1-es7-28-1e
es-index_indices_index_refresh_time,1719337673000000000,70690,es-data-paid1-es7-28-1e
es-index_indices_index_refresh_time,1719337733000000000,65246,es-data-paid1-es7-28-1e
es-index_indices_index_refresh_time,1719337793000000000,68278,es-data-paid1-es7-28-1e
es-index_indices_index_refresh_time,1719337853000000000,70244,es-data-paid1-es7-28-1e
es-index_indices_index_refresh_time,1719337913000000000,66197,es-data-paid1-es7-28-1e
es-index_indices_index_refresh_time,1719337973000000000,64877,es-data-paid1-es7-28-1e
es-index_indices_index_refresh_time,1719338033000000000,67929,es-data-paid1-es7-28-1e
es-index_indices_index_refresh_time,1719338093000000000,65901,es-data-paid1-es7-28-1e
es-index_indices_index_refresh_time,1719338153000000000,66466,es-data-paid1-es7-28-1e
es-index_indices_index_refresh_time,1719338213000000000,71036,es-data-paid1-es7-28-1e
es-index_indices_index_refresh_time,1719338273000000000,67596,es-data-paid1-es7-28-1e
es-index_indices_index_refresh_time,1719338333000000000,65805,es-data-paid1-es7-28-1e
es-index_indices_index_refresh_time,1719338393000000000,72233,es-data-paid1-es7-28-1e
es-index_indices_index_refresh_time,1719338453000000000,65934,es-data-paid1-es7-28-1e
es-index_indices_index_refresh_time,1719338513000000000,63768,es-data-paid1-es7-28-1e
es-index_indices_index_refresh_time,1719338573000000000,91053,es-data-paid1-es7-28-1e
es-index_indices_index_refresh_time,1719338633000000000,84902,es-data-paid1-es7-28-1e
es-index_indices_index_refresh_time,1719338693000000000,66500,es-data-paid1-es7-28-1e
es-index_indices_index_refresh_time,1719338753000000000,78861,es-data-paid1-es7-28-1e
es-index_indices_index_refresh_time,1719338813000000000,69754,es-data-paid1-es7-28-1e
es-index_indices_index_refresh_time,1719338873000000000,64828,es-data-paid1-es7-28-1e
es-index_indices_index_refresh_time,1719338933000000000,70704,es-data-paid1-es7-28-1e
es-index_indices_index_refresh_time,1719338993000000000,63861,es-data-paid1-es7-28-1e
es-index_indices_index_refresh_time,1719339053000000000,67360,es-data-paid1-es7-28-1e
es-index_indices_index_refresh_time,1719339113000000000,64891,es-data-paid1-es7-28-1e
es-index_indices_index_refresh_time,1719339173000000000,68120,es-data-paid1-es7-28-1e
es-index_indices_index_refresh_time,1719339233000000000,62903,es-data-paid1-es7-28-1e
es-index_indices_index_refresh_time,1719339293000000000,69549,es-data-paid1-es7-28-1e
es-index_indices_index_refresh_time,1719339353000000000,64968,es-data-paid1-es7-28-1e
es-index_indices_index_refresh_time,1719339413000000000,68888,es-data-paid1-es7-28-1e
es-index_indices_index_refresh_time,1719339473000000000,70622,es-data-paid1-es7-28-1e
es-index_indices_index_refresh_time,1719339533000000000,67602,es-data-paid1-es7-28-1e
es-index_indices_index_refresh_time,1719339593000000000,67553,es-data-paid1-es7-28-1e
es-index_indices_index_refresh_time,1719339653000000000,72086,es-data-paid1-es7-28-1e
es-index_indices_index_refresh_time,1719339713000000000,66091,es-data-paid1-es7-28-1e
