#datatype measurement,dateTime,long,tag,tag,tag
record,time,val,hostNode,clusterName
es-threadpool_thread_pool_write_rejected.difference,1719337673000000000,0,es-data-paid1-es7-28-1e,,paid1-es7
es-threadpool_thread_pool_write_rejected.difference,1719337733000000000,0,es-data-paid1-es7-28-1e,,paid1-es7
es-threadpool_thread_pool_write_rejected.difference,1719337793000000000,0,es-data-paid1-es7-28-1e,,paid1-es7
es-threadpool_thread_pool_write_rejected.difference,1719337853000000000,0,es-data-paid1-es7-28-1e,,paid1-es7
es-threadpool_thread_pool_write_rejected.difference,1719337913000000000,21,es-data-paid1-es7-28-1e,,paid1-es7
es-threadpool_thread_pool_write_rejected.difference,1719337973000000000,316,es-data-paid1-es7-28-1e,,paid1-es7
es-threadpool_thread_pool_write_rejected.difference,1719338033000000000,411,es-data-paid1-es7-28-1e,,paid1-es7
es-threadpool_thread_pool_write_rejected.difference,1719338093000000000,321,es-data-paid1-es7-28-1e,,paid1-es7
es-threadpool_thread_pool_write_rejected.difference,1719338153000000000,218,es-data-paid1-es7-28-1e,,paid1-es7
es-threadpool_thread_pool_write_rejected.difference,1719338213000000000,176,es-data-paid1-es7-28-1e,,paid1-es7
es-threadpool_thread_pool_write_rejected.difference,1719338273000000000,60,es-data-paid1-es7-28-1e,,paid1-es7
es-threadpool_thread_pool_write_rejected.difference,1719338333000000000,339,es-data-paid1-es7-28-1e,,paid1-es7
es-threadpool_thread_pool_write_rejected.difference,1719338393000000000,205,es-data-paid1-es7-28-1e,,paid1-es7
es-threadpool_thread_pool_write_rejected.difference,1719338453000000000,460,es-data-paid1-es7-28-1e,,paid1-es7
es-threadpool_thread_pool_write_rejected.difference,1719338513000000000,551,es-data-paid1-es7-28-1e,,paid1-es7
es-threadpool_thread_pool_write_rejected.difference,1719338573000000000,261,es-data-paid1-es7-28-1e,,paid1-es7
es-threadpool_thread_pool_write_rejected.difference,1719338633000000000,349,es-data-paid1-es7-28-1e,,paid1-es7
es-threadpool_thread_pool_write_rejected.difference,1719338693000000000,475,es-data-paid1-es7-28-1e,,paid1-es7
es-threadpool_thread_pool_write_rejected.difference,1719338753000000000,90,es-data-paid1-es7-28-1e,,paid1-es7
es-threadpool_thread_pool_write_rejected.difference,1719338813000000000,84,es-data-paid1-es7-28-1e,,paid1-es7
es-threadpool_thread_pool_write_rejected.difference,1719338873000000000,30,es-data-paid1-es7-28-1e,,paid1-es7
es-threadpool_thread_pool_write_rejected.difference,1719338933000000000,41,es-data-paid1-es7-28-1e,,paid1-es7
es-threadpool_thread_pool_write_rejected.difference,1719338993000000000,493,es-data-paid1-es7-28-1e,,paid1-es7
es-threadpool_thread_pool_write_rejected.difference,1719339053000000000,34,es-data-paid1-es7-28-1e,,paid1-es7
es-threadpool_thread_pool_write_rejected.difference,1719339113000000000,250,es-data-paid1-es7-28-1e,,paid1-es7
es-threadpool_thread_pool_write_rejected.difference,1719339173000000000,374,es-data-paid1-es7-28-1e,,paid1-es7
es-threadpool_thread_pool_write_rejected.difference,1719339233000000000,137,es-data-paid1-es7-28-1e,,paid1-es7
es-threadpool_thread_pool_write_rejected.difference,1719339293000000000,35,es-data-paid1-es7-28-1e,,paid1-es7
es-threadpool_thread_pool_write_rejected.difference,1719339353000000000,7,es-data-paid1-es7-28-1e,,paid1-es7
es-threadpool_thread_pool_write_rejected.difference,1719339413000000000,108,es-data-paid1-es7-28-1e,,paid1-es7
es-threadpool_thread_pool_write_rejected.difference,1719339473000000000,206,es-data-paid1-es7-28-1e,,paid1-es7
es-threadpool_thread_pool_write_rejected.difference,1719339533000000000,244,es-data-paid1-es7-28-1e,,paid1-es7
es-threadpool_thread_pool_write_rejected.difference,1719339593000000000,173,es-data-paid1-es7-28-1e,,paid1-es7
es-threadpool_thread_pool_write_rejected.difference,1719339653000000000,159,es-data-paid1-es7-28-1e,,paid1-es7
es-threadpool_thread_pool_write_rejected.difference,1719339713000000000,102,es-data-paid1-es7-28-1e,,paid1-es7
