#datatype measurement,dateTime,long,tag,tag,tag
record,time,val,hostNode,clusterName
es-threadpool_thread_pool_write_rejected.difference,1719337673000000000,17,es-data-paid1-es7-23-1b,,paid1-es7
es-threadpool_thread_pool_write_rejected.difference,1719337733000000000,43,es-data-paid1-es7-23-1b,,paid1-es7
es-threadpool_thread_pool_write_rejected.difference,1719337793000000000,112,es-data-paid1-es7-23-1b,,paid1-es7
es-threadpool_thread_pool_write_rejected.difference,1719337853000000000,22,es-data-paid1-es7-23-1b,,paid1-es7
es-threadpool_thread_pool_write_rejected.difference,1719337913000000000,157,es-data-paid1-es7-23-1b,,paid1-es7
es-threadpool_thread_pool_write_rejected.difference,1719337973000000000,273,es-data-paid1-es7-23-1b,,paid1-es7
es-threadpool_thread_pool_write_rejected.difference,1719338033000000000,174,es-data-paid1-es7-23-1b,,paid1-es7
es-threadpool_thread_pool_write_rejected.difference,1719338093000000000,174,es-data-paid1-es7-23-1b,,paid1-es7
es-threadpool_thread_pool_write_rejected.difference,1719338153000000000,44,es-data-paid1-es7-23-1b,,paid1-es7
es-threadpool_thread_pool_write_rejected.difference,1719338213000000000,0,es-data-paid1-es7-23-1b,,paid1-es7
es-threadpool_thread_pool_write_rejected.difference,1719338273000000000,0,es-data-paid1-es7-23-1b,,paid1-es7
es-threadpool_thread_pool_write_rejected.difference,1719338333000000000,0,es-data-paid1-es7-23-1b,,paid1-es7
es-threadpool_thread_pool_write_rejected.difference,1719338393000000000,137,es-data-paid1-es7-23-1b,,paid1-es7
es-threadpool_thread_pool_write_rejected.difference,1719338453000000000,227,es-data-paid1-es7-23-1b,,paid1-es7
es-threadpool_thread_pool_write_rejected.difference,1719338513000000000,419,es-data-paid1-es7-23-1b,,paid1-es7
es-threadpool_thread_pool_write_rejected.difference,1719338573000000000,441,es-data-paid1-es7-23-1b,,paid1-es7
es-threadpool_thread_pool_write_rejected.difference,1719338633000000000,599,es-data-paid1-es7-23-1b,,paid1-es7
es-threadpool_thread_pool_write_rejected.difference,1719338693000000000,488,es-data-paid1-es7-23-1b,,paid1-es7
es-threadpool_thread_pool_write_rejected.difference,1719338753000000000,517,es-data-paid1-es7-23-1b,,paid1-es7
es-threadpool_thread_pool_write_rejected.difference,1719338813000000000,706,es-data-paid1-es7-23-1b,,paid1-es7
es-threadpool_thread_pool_write_rejected.difference,1719338873000000000,1092,es-data-paid1-es7-23-1b,,paid1-es7
